circuitRef,name,level_2,grid_finish_correlation
portimao,Autódromo Internacional do Algarve,grid,0.8270676691729322
miami,Miami International Autodrome,grid,0.7545388252513497
jeddah,Jeddah Corniche Circuit,grid,0.7204560362330161
istanbul,Istanbul Park,grid,0.7114888686780942
buddh,Buddh International Circuit,grid,0.6863074169460054
shanghai,Shanghai International Circuit,grid,0.6629337218322845
bahrain,Bahrain International Circuit,grid,0.6574572321016399
yas_marina,Yas Marina Circuit,grid,0.6521439844898091
losail,Losail International Circuit,grid,0.6512013644038923
yeongam,Korean International Circuit,grid,0.6112445951197809
catalunya,Circuit de Barcelona-Catalunya,grid,0.6034112280371086
magny_cours,Circuit de Nevers Magny-Cours,grid,0.6005193832508215
marina_bay,Marina Bay Street Circuit,grid,0.5878246884769323
sochi,Sochi Autodrom,grid,0.5865535344385234
valencia,Valencia Street Circuit,grid,0.5718805683739203
jerez,Circuito de Jerez,grid,0.5527661951418348
aintree,Aintree,grid,0.5481293056106856
americas,Circuit of the Americas,grid,0.5451497281309754
hungaroring,Hungaroring,grid,0.5401363215606874
mugello,Autodromo Internazionale del Mugello,grid,0.5338345864661654
baku,Baku City Circuit,grid,0.5338206385984529
suzuka,Suzuka Circuit,grid,0.5299243262908806
boavista,Circuito da Boavista,grid,0.5214285714285715
dijon,Dijon-Prenois,grid,0.5201334921032841
sepang,Sepang International Circuit,grid,0.514959439370759
pescara,Pescara Circuit,grid,0.5117647058823529
monsanto,Monsanto Park Circuit,grid,0.49705882352941166
essarts,Rouen-Les-Essarts,grid,0.4899470605812401
estoril,Autódromo do Estoril,grid,0.4790200769247423
silverstone,Silverstone Circuit,grid,0.47892291183606117
charade,Charade Circuit,grid,0.477957421168909
rodriguez,Autódromo Hermanos Rodríguez,grid,0.47188654516759004
interlagos,Autódromo José Carlos Pace,grid,0.47188393866755235
albert_park,Albert Park Grand Prix Circuit,grid,0.45626763640241574
george,Prince George Circuit,grid,0.45264225217702464
mosport,Mosport International Raceway,grid,0.44982953467824366
spa,Circuit de Spa-Francorchamps,grid,0.440591611616024
ricard,Circuit Paul Ricard,grid,0.44042073435313533
monaco,Circuit de Monaco,grid,0.42315461970458385
imola,Autodromo Enzo e Dino Ferrari,grid,0.41559782583631444
nurburgring,Nürburgring,grid,0.41447458744549226
hockenheimring,Hockenheimring,grid,0.4120315038235145
reims,Reims-Gueux,grid,0.4094978647192381
zandvoort,Circuit Park Zandvoort,grid,0.406108644866064
villeneuve,Circuit Gilles Villeneuve,grid,0.4025504569036044
bremgarten,Circuit Bremgarten,grid,0.40206423763320054
monza,Autodromo Nazionale di Monza,grid,0.4012556214949296
galvez,Autódromo Juan y Oscar Gálvez,grid,0.3898488561274092
watkins_glen,Watkins Glen,grid,0.3761687095920139
okayama,Okayama International Circuit,grid,0.3756142903945934
pedralbes,Circuit de Pedralbes,grid,0.3743457661404757
red_bull_ring,Red Bull Ring,grid,0.36910334724312366
tremblant,Circuit Mont-Tremblant,grid,0.36088046526548123
dallas,Fair Park,grid,0.35615384615384615
las_vegas,Las Vegas Street Circuit,grid,0.3477924898709327
vegas,Las Vegas Strip Street Circuit,grid,0.3470757249496478
brands_hatch,Brands Hatch,grid,0.3431900889000958
anderstorp,Scandinavian Raceway,grid,0.3429883477622286
montjuic,Montjuïc,grid,0.33013259599069955
adelaide,Adelaide Street Circuit,grid,0.3242819731249732
kyalami,Kyalami,grid,0.3133242914240672
detroit,Detroit Street Circuit,grid,0.30915348990161917
jarama,Jarama,grid,0.3048102037950575
sebring,Sebring International Raceway,grid,0.29749469790777705
indianapolis,Indianapolis Motor Speedway,grid,0.29523803411201127
riverside,Riverside International Raceway,grid,0.2875494071146245
fuji,Fuji Speedway,grid,0.27448865497340186
avus,AVUS,grid,0.2642857142857143
ain-diab,Ain Diab,grid,0.2592307692307692
jacarepagua,Autódromo Internacional Nelson Piquet,grid,0.2588055401011041
nivelles,Nivelles-Baulers,grid,0.25446022272529795
long_beach,Long Beach,grid,0.2054826322509729
zolder,Zolder,grid,0.18878428553129803
donington,Donington Park,grid,0.16
phoenix,Phoenix street circuit,grid,0.1393732193732193
lemans,Le Mans,grid,-0.007142857142857219
zeltweg,Zeltweg,grid,-0.21203007518796993
